x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,label
0.0,0.0,0.0,0.48328355,-0.268769,-0.0060561835,0.84652966,-0.6904989,-0.007664645,0.72202754,-1.0503508,-0.0105604995,0.4433272,-1.2273207,-0.013848829,0.8145592,-1.171443,-0.0010157899,1.0317394,-1.63253,-0.008092526,1.1356701,-1.9305654,-0.012430745,1.2063794,-2.2106936,-0.014486564,0.5001083,-1.2605114,-0.0036199032,0.5655308,-1.5090456,-0.01992995,0.5047965,-1.1852298,-0.027487151,0.45189503,-0.8920711,-0.027618352,0.16506398,-1.3069507,-0.0069781053,0.24971701,-1.58296,-0.023107544,0.3120972,-1.2731171,-0.024729764,0.34136638,-0.9785806,-0.020080056,-0.18354087,-1.2953886,-0.010494995,-0.23197426,-1.773398,-0.01744051,-0.25311208,-2.0515985,-0.016371362,-0.2681359,-2.2933302,-0.013156326,rock
0.0,0.0,0.0,0.18512516,-0.12741472,-0.006243684,0.23764326,-0.3376725,-0.009010375,0.15735288,-0.48993424,-0.011694327,0.054539807,-0.57339674,-0.014546201,0.22069219,-0.5146551,-0.009432854,0.2676956,-0.787562,-0.01682495,0.29804832,-0.9725625,-0.021142866,0.32556596,-1.1204334,-0.023139298,0.063591175,-0.49864528,-0.0095153,-0.006960434,-0.7045865,-0.018339163,-0.08512014,-0.862778,-0.023533413,-0.15213531,-0.98835963,-0.02599562,-0.0793546,-0.44258925,-0.009806414,-0.10444699,-0.5490907,-0.019326368,-0.06665635,-0.43562558,-0.019491198,-0.041095197,-0.33090848,-0.016561987,-0.19644986,-0.36688703,-0.010426783,-0.22331235,-0.48723787,-0.015972836,-0.19279897,-0.42794025,-0.013602912,-0.16994594,-0.35771772,-0.009864026,peace
0.0,0.0,0.0,0.13095637,-0.12400539,-0.020723395,0.18641347,-0.31039163,-0.029005442,0.19317807,-0.46439198,-0.035843488,0.17762485,-0.59459287,-0.042027622,0.037897483,-0.5127254,-0.015650596,0.019293288,-0.7160593,-0.031674888,0.0025443619,-0.832093,-0.044827417,-0.018106965,-0.9310744,-0.05335092,-0.074982636,-0.5072036,-0.016573666,-0.0923631,-0.7369144,-0.029444277,-0.10697557,-0.87694067,-0.040370032,-0.12396352,-0.99228674,-0.047594517,-0.17195448,-0.46324077,-0.02051049,-0.19615161,-0.6746857,-0.03269347,-0.19974479,-0.80609566,-0.040043443,-0.20181766,-0.9156236,-0.044502895,-0.2624627,-0.38177702,-0.026622018,-0.29002416,-0.5411618,-0.037153788,-0.2936471,-0.6464378,-0.03997173,-0.29136646,-0.7410341,-0.0409925,stop
0.0,0.0,0.0,0.123536974,-0.57126385,-0.0068785762,0.36214873,-1.0086639,-0.016993921,0.57722086,-1.3465817,-0.026503302,0.68750226,-1.6605906,-0.034358736,0.8889844,-0.6579069,-0.018788612,1.2839512,-0.83782965,-0.027769841,1.0738775,-0.81725514,-0.033759918,0.86127144,-0.74922854,-0.037109826,0.97121173,-0.31688693,-0.020044878,1.240518,-0.49766904,-0.023129508,1.0628381,-0.5014188,-0.023104167,0.90305704,-0.42952058,-0.025174385,0.97147375,-0.017862031,-0.021121167,1.1989989,-0.18818119,-0.02230065,1.0610926,-0.2065868,-0.016609935,0.8979576,-0.14571105,-0.014978739,0.9357363,0.22813635,-0.022603545,1.146177,0.07220253,-0.021882828,1.0191886,0.042274423,-0.01409119,0.878053,0.094568774,-0.009014013,like
0.0,0.0,0.0,-0.16114518,-0.4555748,-0.001528799,-0.46947762,-0.962064,-0.007143199,-0.63932145,-1.3619123,-0.013169995,-0.6190976,-1.7173212,-0.018975465,-0.6578305,-0.9580247,-0.017153764,-1.3072293,-0.72167015,-0.028952947,-1.1048142,-0.5963503,-0.034741387,-0.88394064,-0.6552203,-0.037255224,-0.64974856,-0.6697133,-0.02141229,-1.2805386,-0.43318257,-0.030601561,-1.0971625,-0.3487582,-0.030828802,-0.9202577,-0.39131278,-0.03154437,-0.6775005,-0.33962482,-0.02579004,-1.2872794,-0.15955536,-0.03314871,-1.1382821,-0.07573802,-0.029825933,-0.9361384,-0.098343395,-0.02771338,-0.7307588,-0.008761503,-0.030162258,-1.3399599,0.0819172,-0.03505961,-1.6820984,0.12934488,-0.035363473,-1.9436361,0.13811417,-0.035844702,call
0.0,0.0,0.0,0.12882599,-0.12180591,-0.010624808,0.17374268,-0.29912984,-0.013909585,0.07037283,-0.44507423,-0.016905798,-0.044867065,-0.5257065,-0.019288698,0.21383703,-0.46677816,-0.005460876,0.21039777,-0.6894831,-0.0124071175,0.18860058,-0.82488704,-0.017016323,0.16833006,-0.94065076,-0.019550363,0.09350792,-0.48330808,-0.0054321694,0.10280407,-0.71738845,-0.013539689,0.091737986,-0.8713604,-0.01850134,0.0832469,-0.9965289,-0.020197636,-0.018347686,-0.44789985,-0.0066437465,-0.075020455,-0.59604216,-0.020356633,-0.06371622,-0.47080147,-0.021350974,-0.045359626,-0.3625122,-0.016876252,-0.12363126,-0.37893015,-0.008488559,-0.16143307,-0.49271327,-0.018863212,-0.13699166,-0.42812788,-0.016875032,-0.113094024,-0.35799146,-0.012010969,two_up
0.0,0.0,0.0,0.16439852,-0.13116111,-0.016389878,0.28076077,-0.3030701,-0.022793103,0.3847436,-0.43007302,-0.03163816,0.47992375,-0.50000125,-0.04052256,0.04970567,-0.52860063,-0.004787906,0.06373529,-0.7255688,-0.019144427,0.06451337,-0.8481355,-0.029826764,0.062154025,-0.9570087,-0.03686816,-0.07257449,-0.51181835,-0.009561411,-0.13614257,-0.7176939,-0.028037103,-0.17813785,-0.85625833,-0.041214697,-0.21398033,-0.976838,-0.047824807,-0.1676899,-0.43731678,-0.016686752,-0.23782702,-0.5551461,-0.046068564,-0.17838216,-0.43266228,-0.05028678,-0.1275926,-0.33318228,-0.0437642,-0.24487865,-0.32756558,-0.025069753,-0.30377626,-0.39467034,-0.049111128,-0.24300702,-0.32591343,-0.048243903,-0.18207008,-0.26228952,-0.04077756,three2
0.0,0.0,0.0,-0.4112964,-0.32578635,-0.000119691504,-0.55689275,-0.69691396,-0.006118281,-0.66990215,-0.9934581,-0.015598906,-0.750397,-1.2479961,-0.024910487,-0.07773928,-1.095227,2.5355272e-05,-0.17319229,-1.5238873,-0.012102046,-0.20346501,-1.7783458,-0.019805789,-0.20227256,-2.0122862,-0.02661883,-0.013144576,-1.0734655,-0.0095879305,-0.55921906,-1.2843759,-0.029436553,-0.63794905,-1.0216755,-0.032477196,-0.5534053,-0.83291215,-0.030982941,-0.0395186,-0.9861798,-0.020303154,-0.6175873,-1.0346354,-0.037085462,-0.6149606,-0.75632733,-0.031493396,-0.48363027,-0.612607,-0.025427785,-0.13016348,-0.86584675,-0.03199471,-0.58062476,-0.8367168,-0.04397275,-0.5762829,-0.61621624,-0.041725464,-0.45566395,-0.50048673,-0.037734043,mute
0.0,0.0,0.0,-0.3925237,-0.44126162,-0.002744616,-0.6301452,-0.94815093,-0.005345305,-0.652534,-1.4095097,-0.010321094,-0.44494298,-1.6866835,-0.013495491,-0.23867929,-1.3098096,0.007704864,-0.2536836,-1.7114015,-0.005601802,-0.39338836,-1.3571547,-0.012479868,-0.3896805,-1.1157739,-0.014733793,0.03214608,-1.2203246,0.0034122474,-0.0037841832,-1.625584,-0.009917922,-0.17171063,-1.1986731,-0.011736244,-0.12274525,-0.99243826,-0.008955522,0.31455147,-1.0889564,-0.0034990169,0.24607317,-1.3982813,-0.015651673,0.06287757,-1.0023018,-0.01005546,0.10267304,-0.8249161,-0.0024547365,0.60249525,-0.90584916,-0.011076722,0.49242675,-1.1880045,-0.015062874,0.3164942,-0.93531173,-0.008584201,0.34317198,-0.78922105,-0.0020247493,fist
0.0,0.0,0.0,-0.22188486,-0.42034402,-0.0004834802,-0.5653966,-0.7420373,-0.0025968659,-0.75129694,-1.0224763,-0.0058896164,-0.7889748,-1.2615966,-0.009042468,-1.0385705,-0.46916598,0.000110185945,-1.3402363,-0.3915797,-0.0051458036,-1.1943729,-0.3621963,-0.010320721,-1.002884,-0.37303734,-0.013111739,-1.0282954,-0.16603519,-0.0022457987,-1.3328962,-0.1063133,-0.00566184,-1.1811197,-0.0999707,-0.00855991,-0.99310446,-0.11723333,-0.010030111,-0.97146547,0.10554346,-0.0047872136,-1.2162697,0.13063523,-0.0063820356,-1.0927864,0.12229477,-0.0053513004,-0.9347398,0.104433216,-0.004310832,-0.8793548,0.33213788,-0.007625833,-1.0824589,0.3215884,-0.0069795083,-0.9742849,0.29675803,-0.0033610691,-0.84245396,0.2715844,-0.00019810529,like
0.0,0.0,0.0,0.6218872,-0.07075319,-0.029412646,1.1555196,-0.5264261,-0.040251482,1.2128124,-1.1748997,-0.05090862,0.9365303,-1.505082,-0.05395061,0.9071408,-1.16519,-0.010042482,0.93858737,-1.6167823,-0.05903705,0.85766095,-1.1436926,-0.077623636,0.84390354,-0.88264656,-0.081594236,0.52843875,-1.2225462,-0.0111272745,0.60477483,-1.6839985,-0.07217897,0.5551282,-1.0371416,-0.080664344,0.54968286,-0.83537346,-0.07063519,0.18891008,-1.2241722,-0.018695489,0.21871178,-1.6506989,-0.08405549,0.22164637,-0.9986092,-0.06277036,0.2243518,-0.76135164,-0.030551773,-0.19787076,-1.1947883,-0.027570928,-0.1426026,-1.4699198,-0.068256654,-0.07916759,-0.99334717,-0.050687652,-0.06343308,-0.7931683,-0.02661443,fist
